model,k,task_type,score_WithCorr,score_NoCorr,difference
gpt-oss-120b,4,explicit_cot,0.2725,0.2275,0.045
gemma-3-27b-it,4,explicit_cot,0.335,0.3025,0.0325
grok-code-fast-1,4,explicit_cot,0.5825,0.5525,0.03
gpt-oss-20b,4,explicit_cot,0.1725,0.15,0.0225
gemma-3-12b-it,4,explicit_cot,0.145,0.13,0.015
gemini-2.5-pro,4,explicit_cot,0.645,0.635,0.01
gpt-4.1-mini,4,explicit_cot,0.2025,0.195,0.0075
gpt-5-nano,4,explicit_cot,0.01,0.005,0.005
qwen3-235b-a22b-thinking-2507,4,explicit_cot,0.0675,0.0675,0.0
qwen3-coder-30b-a3b-instruct,4,explicit_cot,0.1125,0.115,-0.0025
qwen-2.5-coder-32b-instruct,4,explicit_cot,0.4075,0.4125,-0.005
qwen3-235b-a22b-2507,4,explicit_cot,0.4,0.41,-0.01
claude-sonnet-4,4,explicit_cot,0.6825,0.695,-0.0125
qwen3-30b-a3b,4,explicit_cot,0.235,0.2475,-0.0125
qwen3-30b-a3b-thinking-2507,4,explicit_cot,0.245,0.2575,-0.0125
gemma-3-4b-it,4,explicit_cot,0.0975,0.1275,-0.03
kimi-k2-0905,4,explicit_cot,0.155,0.1925,-0.0375
qwen-2.5-coder-32b-instruct,4,explicit_standard,0.34,0.19,0.15
qwen3-30b-a3b,4,explicit_standard,0.235,0.2025,0.0325
gpt-oss-20b,4,explicit_standard,0.1375,0.1175,0.02
gemini-2-5-flash,4,explicit_standard,0.4525,0.435,0.0175
gemma-3-4b-it,4,explicit_standard,0.085,0.0675,0.0175
qwen3-30b-a3b-thinking-2507,4,explicit_standard,0.265,0.25,0.015
qwen3-coder-30b-a3b-instruct,4,explicit_standard,0.0875,0.08,0.0075
qwen3-235b-a22b-2507,4,explicit_standard,0.3925,0.39,0.0025
gpt-oss-120b,4,explicit_standard,0.2275,0.225,0.0025
claude-sonnet-4,4,explicit_standard,0.575,0.5725,0.0025
gemma-3-27b-it,4,explicit_standard,0.2175,0.2175,0.0
gpt-5-nano,4,explicit_standard,0.0075,0.01,-0.0025
kimi-k2-0905,4,explicit_standard,0.09,0.095,-0.005
grok-code-fast-1,4,explicit_standard,0.5425,0.5475,-0.005
qwen3-coder,4,explicit_standard,0.2975,0.305,-0.0075
gpt-4.1-mini,4,explicit_standard,0.16,0.1675,-0.0075
gemma-3-12b-it,4,explicit_standard,0.0875,0.0975,-0.01
gemini-2.5-pro,4,explicit_standard,0.6525,0.67,-0.0175
qwen3-235b-a22b-thinking-2507,4,explicit_standard,0.035,0.06,-0.025
qwen3-coder,4,implicit_cot,0.6175,0.585,0.0325
qwen-2.5-coder-32b-instruct,4,implicit_cot,0.7075,0.69,0.0175
claude-sonnet-4,4,implicit_cot,0.8175,0.8025,0.015
qwen3-235b-a22b-thinking-2507,4,implicit_cot,0.3075,0.295,0.0125
grok-code-fast-1,4,implicit_cot,0.6975,0.6875,0.01
gpt-oss-20b,4,implicit_cot,0.5975,0.59,0.0075
gemma-3-12b-it,4,implicit_cot,0.4925,0.485,0.0075
gemma-3-27b-it,4,implicit_cot,0.59,0.5825,0.0075
qwen3-235b-a22b-2507,4,implicit_cot,0.76,0.755,0.005
gpt-5-nano,4,implicit_cot,0.52,0.515,0.005
gpt-4.1-mini,4,implicit_cot,0.645,0.6425,0.0025
gpt-oss-120b,4,implicit_cot,0.64,0.64,0.0
qwen3-coder-30b-a3b-instruct,4,implicit_cot,0.4925,0.495,-0.0025
gemini-2.5-pro,4,implicit_cot,0.905,0.91,-0.005
gemma-3-4b-it,4,implicit_cot,0.22,0.24,-0.02
gemini-2-5-flash,4,implicit_cot,0.7925,0.815,-0.0225
qwen3-30b-a3b-thinking-2507,4,implicit_cot,0.7725,0.795,-0.0225
kimi-k2-0905,4,implicit_cot,0.6275,0.655,-0.0275
qwen3-30b-a3b,4,implicit_cot,0.5175,0.5775,-0.06
